,0
639,14316
640,7978
641,19256
642,6418
643,22040
644,6824
645,9038
646,18176
647,11265
648,18296
649,20936
650,19191
651,16606
652,21215
653,15404
654,18258
655,17058
656,9429
657,9075
658,10414
659,13213
660,22936
661,29861
662,29687
663,25714
664,28300
665,33754
666,23958
667,11587
668,15715
669,47048
670,7358
671,4657
672,11909
673,5782
674,14712
675,7924
676,10416
677,9107
678,5342
679,14308
680,8694
681,4978
682,7487
683,12608
684,13770
685,7212
686,38356
687,12151
688,18298
689,11910
690,7792
691,16892
692,7866
693,5312
694,21143
695,10826
696,2566
697,3312
698,10056
699,18144
700,24185
701,11846
702,16319
703,22193
704,11846
705,15687
706,25319
707,26631
708,23260
709,14495
710,16027
711,14615
712,3987
713,9055
714,3041
715,11847
716,12696
717,16775
718,13922
719,11134
720,23910
721,37088
722,19369
723,12339
724,18312
725,7426
726,10449
727,22670
728,14342
729,21826
730,11668
731,18505
732,5166
733,13951
734,18931
735,12751
736,12213
737,9922
738,11349
739,18888
740,29179
741,28938
742,11124
743,14693
744,9470
745,19175
746,17273
747,10036
748,4499
749,20935
750,18235
751,8103
752,8723
753,18937
754,17438
755,16304
756,15956
757,5971
758,18323
759,35193
760,8983
761,30508
762,24372
763,16495
764,6226
765,18979
766,23462
767,15249
768,6232
769,4519
770,8374
771,17870
772,12471
773,7272
774,8295
775,11409
776,12833
777,15811
778,1659
779,2010
780,13187
781,4902
782,8439
783,8955
784,8439
785,22711
786,15945
787,4311
788,9051
789,10586
790,24744
791,14592
792,22103
793,9872
794,14403
795,15329
796,8589
797,7678
798,14671
799,18761
800,18372
801,18608
802,12443
803,13557
804,11166
805,33865
806,9377
807,18284
808,23065
809,22787
810,11099
811,3107
812,9449
813,17189
814,13329
815,11004
816,22863
817,19888
818,17563
819,18136
820,3860
821,18813
822,22212
823,23297
824,11455
825,12547
826,14843
827,14975
828,11503
829,14509
830,16046
831,10749
832,20332
833,17594
834,12892
835,16026
836,6024
837,27609
838,11262
839,4302
840,10336
841,3573
842,5654
843,7864
844,11581
845,15776
846,12328
847,17494
848,13357
849,9835
850,12868
851,9200
852,43999
853,5118
854,20615
855,40879
856,19919
857,16897
858,11212
859,40879
860,18800
861,21893
862,14336
863,21381
864,18820
865,13672
866,7677
867,14422
868,4718
869,7284
870,14766
871,26904
872,14509
873,13558
874,9691
875,9062
876,13564
877,10953
878,15512
879,14816
880,6080
881,6367
882,4075
883,13408
884,22625
885,2332
886,9331
887,6444
888,6710
889,13174
890,26786
891,10919
892,22258
893,30403
894,33515
895,19332
896,14184
897,18506
898,35251
899,28079
900,8555
901,42725
902,20520
903,18130
904,5191
905,6362
906,33974
907,22835
908,37673
909,6779
910,13853
911,7984
912,11583
913,10972
914,11775
915,22389
916,9729
917,12688
918,11886
919,13739
920,19755
921,17636
922,18836
923,12425
924,18003
925,16248
926,15981
927,9429
928,14747
929,15707
930,13014
931,15938
932,14257
933,19250
934,14325
935,4327
936,4204
937,19250
938,25124
939,16753
940,7472
941,16434
942,7248
943,12789
944,16888
945,13364
946,21127
947,9661
948,12448
949,16877
950,20090
951,9607
952,21498
953,12937
954,12878
955,8410
956,17653
957,12799
958,21265
959,30718
960,7610
961,18633
962,4546
963,14363
964,10154
965,3911
966,8903
967,10664
968,14475
969,5835
970,15516
971,10810
972,16963
973,3735
974,16331
975,15988
976,7848
977,8637
978,12919
979,8775
980,4320
981,9161
982,11217
983,11760
984,6550
985,11607
986,8325
987,12394
988,12165
989,14328
990,11418
991,10252
992,12085
993,10468
994,20687
995,5846
996,7278
997,12204
998,11098
999,1810
1000,23251
1001,2609
1002,16911
1003,17234
1004,22976
1005,20018
1006,7452
1007,9004
1008,3844
1009,8049
1010,4285
1011,12044
1012,9856
1013,17510
1014,5792
1015,15475
1016,21867
1017,11077
1018,12675
1019,11104
1020,9272
1021,12412
1022,9272
1023,16082
1024,12166
1025,8702
1026,9324
1027,16273
1028,8512
1029,17118
1030,11538
1031,8411
1032,4944
1033,13933
1034,19760
1035,14149
1036,31713
1037,20692
1038,7363
1039,13590
1040,20439
1041,13805
1042,21525
1043,6924
1044,12771
1045,13913
1046,14700
1047,6610
1048,17555
1049,10444
1050,7268
1051,17932
1052,6502
1053,5849
1054,22273
1055,7249
1056,2698
1057,5843
1058,17230
1059,7158
1060,9665
1061,14559
1062,5774
1063,6762
1064,14141
1065,21032
1066,16783
1067,14133
1068,20226
1069,28081
1070,17611
1071,18235
1072,6785
1073,13015
1074,12282
1075,11544
1076,8361
1077,23847
1078,19862
1079,5235
1080,21432
1081,25699
1082,24446
1083,21067
1084,13068
1085,13464
1086,9952
1087,13602
1088,9515
1089,25123
1090,10739
1091,8996
1092,11922
1093,3407
1094,18430
1095,14594
1096,13575
1097,11593
1098,10794
1099,18861
1100,9129
1101,20957
1102,6111
1103,16021
1104,14017
1105,26705
1106,6232
1107,7154
1108,25444
1109,25195
1110,15870
1111,19838
1112,14515
1113,4922
1114,13997
1115,12711
1116,21625
1117,16574
1118,29911
1119,9019
1120,23902
1121,11579
1122,21701
1123,10565
1124,15907
1125,3486
1126,14360
1127,16345
1128,13326
1129,19097
1130,12117
1131,19649
1132,20479
1133,21801
1134,18650
1135,4740
1136,12199
1137,10004
1138,2411
1139,6975
1140,17000
1141,19391
1142,29430
1143,16011
1144,14957
1145,8375
1146,18712
1147,29016
1148,11633
1149,19513
1150,23828
1151,5008
1152,6981
1153,12639
1154,26043
1155,20308
1156,4627
1157,27003
1158,7332
1159,20928
1160,9531
1161,20523
1162,17566
1163,16532
1164,20984
1165,22788
1166,3672
