iter	Passed	Remaining
0	9	9759
1	14	7381
2	19	6507
3	24	6190
4	29	5942
5	34	5739
6	39	5568
7	44	5520
8	49	5432
9	54	5394
10	59	5305
11	63	5235
12	68	5165
13	72	5107
14	76	5045
15	81	4999
16	85	4943
17	89	4902
18	94	4874
19	98	4838
20	103	4813
21	107	4787
22	111	4755
23	116	4730
24	120	4714
25	125	4694
26	129	4675
27	132	4611
28	135	4547
29	139	4504
30	142	4462
31	145	4405
32	148	4361
33	152	4323
34	155	4277
35	158	4234
36	160	4190
37	163	4148
38	166	4112
39	169	4073
40	173	4054
41	176	4028
42	179	3992
43	182	3958
44	185	3927
45	188	3905
46	191	3880
47	194	3853
48	197	3824
49	200	3807
50	203	3786
51	206	3772
52	210	3754
53	213	3732
54	215	3709
55	219	3692
56	222	3676
57	225	3656
58	228	3641
59	231	3630
60	234	3617
61	238	3606
62	241	3591
63	244	3573
64	247	3557
65	250	3539
66	253	3526
67	256	3509
68	259	3495
69	261	3480
70	264	3466
71	268	3457
72	271	3442
73	273	3427
74	276	3414
75	280	3404
76	282	3390
77	285	3377
78	289	3371
79	292	3368
80	297	3375
81	302	3382
82	306	3387
83	310	3385
84	313	3371
85	316	3359
86	319	3348
87	322	3340
88	325	3330
89	328	3319
90	331	3309
91	334	3300
92	337	3289
93	340	3280
94	343	3271
95	346	3262
96	349	3250
97	352	3241
98	354	3230
99	357	3220
100	360	3209
101	363	3201
102	366	3194
103	370	3189
104	373	3182
105	376	3175
106	379	3167
107	382	3162
108	385	3153
109	389	3150
110	392	3147
111	396	3145
112	400	3141
113	403	3135
114	406	3130
115	409	3122
116	413	3116
117	416	3115
118	419	3107
119	422	3099
120	425	3093
121	429	3088
122	432	3081
123	435	3073
124	438	3071
125	442	3071
126	446	3069
127	450	3066
128	453	3065
129	457	3063
130	460	3056
131	463	3049
132	466	3042
133	469	3035
134	472	3027
135	475	3019
136	478	3011
137	480	3004
138	483	2997
139	487	2992
140	490	2986
141	493	2979
142	496	2974
143	499	2968
144	502	2965
145	506	2960
146	509	2955
147	512	2950
148	515	2944
149	518	2938
150	521	2931
151	524	2924
152	527	2917
153	530	2911
154	533	2905
155	536	2900
156	538	2893
157	541	2886
158	544	2880
159	548	2878
160	551	2874
161	555	2872
162	559	2873
163	563	2874
164	567	2874
165	571	2873
166	575	2870
167	579	2869
168	582	2863
169	585	2857
170	587	2849
171	591	2847
172	594	2842
173	597	2837
174	601	2833
175	604	2831
176	608	2827
177	610	2820
178	613	2814
179	616	2807
180	619	2801
181	622	2797
182	625	2792
183	628	2788
184	631	2783
185	635	2779
186	638	2775
187	641	2770
188	644	2765
189	647	2759
190	650	2753
191	653	2751
192	657	2747
193	659	2741
194	662	2736
195	665	2730
196	668	2725
197	671	2720
198	675	2718
199	679	2717
200	682	2713
201	685	2709
202	688	2704
203	691	2699
204	695	2697
205	698	2692
206	702	2689
207	705	2685
208	708	2680
209	712	2679
210	716	2678
211	720	2677
212	724	2678
213	728	2676
214	732	2674
215	735	2669
216	738	2665
217	741	2660
218	744	2656
219	747	2651
220	750	2646
221	754	2644
222	758	2641
223	761	2638
224	764	2634
225	767	2629
226	770	2624
227	773	2619
228	776	2614
229	779	2609
230	782	2605
231	786	2603
232	790	2601
233	793	2597
234	796	2592
235	799	2587
236	803	2586
237	806	2583
238	809	2578
239	812	2573
240	815	2569
241	818	2564
242	821	2560
243	824	2554
244	827	2550
245	830	2545
246	833	2542
247	836	2537
248	839	2532
249	842	2528
250	845	2523
251	848	2519
252	852	2516
253	855	2512
254	858	2508
255	861	2504
256	864	2498
257	867	2496
258	871	2492
259	874	2488
260	877	2483
261	880	2479
262	883	2475
263	886	2471
264	889	2467
265	893	2465
266	897	2462
267	900	2460
268	904	2456
269	907	2453
270	910	2448
271	913	2444
272	916	2440
273	919	2435
274	922	2431
275	925	2428
276	929	2425
277	932	2422
278	936	2419
279	938	2414
280	941	2409
281	944	2404
282	947	2401
283	951	2398
284	954	2393
285	957	2390
286	961	2388
287	965	2386
288	968	2382
289	971	2378
290	974	2373
291	976	2368
292	979	2364
293	982	2360
294	986	2357
295	989	2353
296	992	2348
297	995	2344
298	998	2339
299	1000	2335
300	1003	2331
301	1008	2330
302	1012	2328
303	1015	2325
304	1018	2321
305	1021	2316
306	1024	2312
307	1027	2308
308	1030	2304
309	1033	2300
310	1036	2295
311	1039	2292
312	1042	2288
313	1045	2284
314	1048	2281
315	1051	2277
316	1054	2272
317	1057	2268
318	1060	2264
319	1063	2260
320	1066	2256
321	1070	2253
322	1072	2248
323	1075	2244
324	1078	2240
325	1081	2236
326	1084	2232
327	1087	2228
328	1090	2224
329	1093	2220
330	1096	2216
331	1100	2214
332	1103	2211
333	1107	2208
334	1111	2205
335	1113	2201
336	1116	2197
337	1119	2193
338	1122	2189
339	1125	2185
340	1128	2181
341	1132	2177
342	1135	2174
343	1137	2170
344	1141	2166
345	1144	2162
346	1147	2159
347	1150	2155
348	1153	2150
349	1155	2146
350	1158	2142
351	1161	2138
352	1164	2134
353	1168	2131
354	1172	2129
355	1175	2126
356	1178	2123
357	1181	2119
358	1184	2115
359	1187	2111
360	1190	2107
361	1194	2104
362	1197	2101
363	1200	2097
364	1203	2094
365	1207	2091
366	1210	2088
367	1213	2084
368	1217	2081
369	1220	2077
370	1223	2074
371	1226	2071
372	1229	2067
373	1232	2063
374	1235	2059
375	1239	2057
376	1243	2055
377	1248	2054
378	1252	2053
379	1256	2050
380	1259	2046
381	1263	2043
382	1267	2041
383	1271	2039
384	1275	2037
385	1279	2035
386	1284	2033
387	1288	2031
388	1292	2029
389	1296	2027
390	1300	2026
391	1304	2023
392	1309	2021
393	1312	2018
394	1315	2014
395	1318	2010
396	1321	2006
397	1324	2003
398	1328	2000
399	1331	1997
400	1335	1994
401	1338	1991
402	1341	1987
403	1344	1983
404	1347	1979
405	1350	1975
406	1354	1973
407	1358	1971
408	1362	1968
409	1367	1967
410	1371	1966
411	1375	1963
412	1380	1961
413	1383	1958
414	1387	1956
415	1391	1953
416	1395	1951
417	1399	1948
418	1404	1946
419	1407	1944
420	1411	1941
421	1415	1938
422	1419	1936
423	1423	1933
424	1427	1930
425	1431	1928
426	1434	1925
427	1438	1922
428	1442	1920
429	1446	1917
430	1450	1914
431	1453	1911
432	1457	1909
433	1461	1906
434	1466	1904
435	1470	1901
436	1474	1899
437	1478	1897
438	1483	1895
439	1487	1892
440	1490	1889
441	1494	1887
442	1498	1884
443	1502	1881
444	1505	1877
445	1508	1873
446	1510	1869
447	1513	1865
448	1516	1861
449	1519	1857
450	1522	1853
451	1525	1849
452	1528	1846
453	1532	1842
454	1535	1839
455	1538	1835
456	1541	1831
457	1544	1827
458	1547	1823
459	1550	1820
460	1553	1816
461	1556	1812
462	1559	1808
463	1562	1805
464	1565	1801
465	1569	1798
466	1573	1795
467	1576	1791
468	1579	1788
469	1582	1784
470	1585	1780
471	1588	1776
472	1591	1772
473	1594	1768
474	1596	1765
475	1600	1761
476	1602	1757
477	1605	1753
478	1608	1749
479	1611	1745
480	1614	1742
481	1617	1738
482	1620	1734
483	1623	1730
484	1625	1726
485	1628	1722
486	1631	1719
487	1634	1715
488	1638	1711
489	1641	1708
490	1645	1705
491	1648	1702
492	1652	1698
493	1654	1695
494	1657	1691
495	1660	1687
496	1663	1683
497	1666	1679
498	1669	1676
499	1672	1672
500	1675	1668
501	1678	1665
502	1681	1661
503	1684	1658
504	1687	1654
505	1690	1650
506	1694	1647
507	1697	1643
508	1699	1639
509	1702	1636
510	1705	1632
511	1709	1629
512	1712	1625
513	1715	1621
514	1718	1617
515	1721	1614
516	1723	1610
517	1726	1606
518	1729	1603
519	1732	1599
520	1735	1595
521	1738	1592
522	1742	1588
523	1745	1585
524	1749	1582
525	1751	1578
526	1754	1575
527	1757	1571
528	1760	1567
529	1763	1564
530	1766	1560
531	1769	1556
532	1773	1553
533	1777	1550
534	1780	1547
535	1783	1543
536	1786	1540
537	1789	1536
538	1792	1532
539	1795	1529
540	1798	1526
541	1802	1523
542	1806	1520
543	1809	1516
544	1812	1513
545	1815	1509
546	1818	1506
547	1821	1502
548	1824	1498
549	1827	1495
550	1830	1491
551	1834	1488
552	1837	1485
553	1840	1481
554	1843	1477
555	1846	1474
556	1849	1470
557	1852	1467
558	1856	1464
559	1860	1461
560	1864	1458
561	1868	1456
562	1872	1453
563	1876	1450
564	1879	1447
565	1882	1443
566	1885	1439
567	1888	1435
568	1890	1432
569	1893	1428
570	1896	1424
571	1899	1421
572	1902	1417
573	1905	1414
574	1908	1410
575	1912	1407
576	1916	1404
577	1920	1402
578	1923	1398
579	1926	1395
580	1929	1391
581	1932	1387
582	1935	1384
583	1938	1380
584	1941	1377
585	1944	1373
586	1947	1370
587	1950	1366
588	1953	1363
589	1956	1359
