iter	RMSE
0	694.4473694
1	649.6275651
2	610.6667379
3	576.6628679
4	545.6573327
5	517.9186407
6	492.4371785
7	470.6889099
8	451.4520534
9	434.7596736
10	419.0755432
11	406.2515252
12	394.5135195
13	383.0356002
14	371.9396901
15	363.839305
16	354.8278539
17	345.9793712
18	338.9552285
19	331.7701843
20	326.806116
21	322.5324079
22	317.2024978
23	311.3864214
24	307.2166339
25	303.0706667
26	299.5939816
27	295.5319052
28	291.9945496
29	288.9768604
30	286.5489973
31	284.3295276
32	281.4188109
33	279.6757763
34	277.4685141
35	275.8639751
36	273.4723862
37	272.2114432
38	270.8783413
39	268.0953711
40	266.3776439
41	265.0314494
42	263.1052632
43	261.9592807
44	261.356849
45	260.3253818
46	258.6337566
47	257.0827544
48	255.1007765
49	253.7033791
50	252.3296247
51	251.3307046
52	250.1934152
53	249.0705619
54	247.8868973
55	247.4072997
56	246.8792969
57	246.1306086
58	245.3236361
59	244.8397028
60	243.6383731
61	243.0380174
62	242.0445636
63	241.4946354
64	241.042711
65	240.0635166
66	239.4614623
67	239.0860556
68	238.6447106
69	238.1550347
70	237.6702024
71	237.1007036
72	236.1934531
73	235.3488193
74	234.860309
75	234.0213965
76	233.4342828
77	232.7206415
78	232.2574652
79	231.68782
80	231.3694492
81	230.6254191
82	230.1329797
83	229.1410428
84	228.4812396
85	227.9023481
86	227.550865
87	226.9871397
88	226.4233938
89	225.7763815
90	224.9501814
91	224.5816363
92	224.0413632
93	223.4771815
94	222.9597564
95	222.3999071
96	221.5066801
97	220.9963334
98	220.3457374
99	219.5025901
100	219.0994103
101	218.5066917
102	218.0845644
103	217.6431596
104	217.1810651
105	216.7531487
106	216.3702643
107	215.7834172
108	215.2140427
109	214.7549176
110	214.3037876
111	213.861682
112	213.5536801
113	213.2200074
114	212.7169831
115	212.1550087
116	211.8472754
117	211.4029316
118	210.8556139
119	210.6088284
120	210.3096359
121	209.9675743
122	209.6281309
123	209.2801162
124	209.0155199
125	208.3980667
126	207.7318294
127	207.1105837
128	206.7532629
129	206.3761998
130	205.8263127
131	205.3940421
132	204.7831561
133	204.4382108
134	203.9180939
135	203.5673269
136	203.1587448
137	202.683292
138	202.1437281
139	201.9446891
140	201.4779208
141	201.102229
142	200.6227904
143	200.2734899
144	199.8545043
145	199.4690542
146	199.0831571
147	198.7653578
148	198.3692317
149	197.8698919
150	197.564432
151	197.2820299
152	196.914748
153	196.4037812
154	196.0719634
155	195.6843976
156	195.3867606
157	195.0403791
158	194.7957896
159	194.4846533
160	194.2271937
161	194.0214282
162	193.701083
163	193.4029925
164	193.1483489
165	192.8034238
166	192.4760252
167	192.1694526
168	191.9007574
169	191.4231611
170	191.0137013
171	190.675484
172	190.4087136
173	189.9945612
174	189.5746068
175	189.3312863
176	188.8707745
177	188.6165948
178	188.3407932
179	188.073935
180	187.8129994
181	187.6090562
182	187.3786594
183	187.144221
184	186.7804778
185	186.5820164
186	186.3589919
187	186.1103439
188	185.8451269
189	185.4985577
190	185.295836
191	185.0691965
192	184.7241549
193	184.49593
194	184.3147457
195	184.0797376
196	183.7914201
197	183.6249695
198	183.346304
199	183.0622595
200	182.8159978
201	182.5116749
202	182.1895821
203	181.9576103
204	181.8119611
205	181.5906468
206	181.4072076
207	181.1868084
208	180.9099511
